2026-03-24 05:34:33 | INFO     | data_provider/base.py:1235 | [股票名称] 从 BaostockFetcher 获取: 002773 -> 康弘药业
2026-03-24 05:34:33 | WARNING  | data_provider/tushare_fetcher.py:354 | 无法确定股票 001335 的市场，默认使用深市
2026-03-24 05:34:34 | WARNING  | data_provider/tushare_fetcher.py:528 | Tushare 获取股票名称失败 001335: 抱歉，您每分钟最多访问该接口1次，权限的具体详情访问：https://tushare.pro/document/1?doc_id=108。
2026-03-24 05:34:34 | WARNING  | data_provider/baostock_fetcher.py:165 | 无法确定股票 001335 的市场，默认使用深市
2026-03-24 05:34:37 | INFO     | data_provider/base.py:1235 | [股票名称] 从 BaostockFetcher 获取: 001335 -> 信凯科技
2026-03-24 05:34:38 | WARNING  | data_provider/tushare_fetcher.py:528 | Tushare 获取股票名称失败 000651: 抱歉，您每分钟最多访问该接口1次，权限的具体详情访问：https://tushare.pro/document/1?doc_id=108。
2026-03-24 05:34:40 | INFO     | data_provider/base.py:1235 | [股票名称] 从 BaostockFetcher 获取: 000651 -> 格力电器
2026-03-24 05:34:40 | INFO     | src/core/pipeline.py:1027 | ========== 开始处理 PM ==========
2026-03-24 05:34:40 | INFO     | src/core/pipeline.py:158 | 菲利普莫里斯(PM) 开始从数据源获取数据...
2026-03-24 05:34:40 | INFO     | data_provider/base.py:758 | [数据源尝试 2/6] [YfinanceFetcher] 美股/美股指数 PM 直接路由...
2026-03-24 05:34:40 | INFO     | data_provider/base.py:357 | [YfinanceFetcher] 开始获取 PM 日线数据: 范围=2026-01-23 ~ 2026-03-24
2026-03-24 05:34:40 | INFO     | data_provider/base.py:376 | [YfinanceFetcher] PM 获取成功: 范围=2026-01-23 ~ 2026-03-24, rows=41, elapsed=0.10s
2026-03-24 05:34:40 | INFO     | data_provider/base.py:770 | [数据源完成] PM 使用 [YfinanceFetcher] 获取成功: rows=41, elapsed=0.10s
2026-03-24 05:34:40 | INFO     | src/storage.py:1387 | 保存 PM 数据成功，新增 41 条
